,Unnamed: 0,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,Vacancy Rate of Rented Condominium Apartments ,New Housing Price Index (% change)4,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6","Starts by intended market, 1 total",Newly completed and unabsorbed homes2,Rental vacancy rate (%)3,Rental availability rate (%)3,Vacancy Rate (Standard Spaces) in Seniors' Rental 6,New Housing Price Index (% change)5,Consumer Price Index (% change)5,Construction Wage Rate Index (% change)5,Owned accommodation costs (% change)5,Rental accommodation costs (% change)5,Population on July 1 (thousands)4,Labour force participation rate (%)4,Employment (% change)5,Unemployment rate (%)4,Real disposable income (% change)5,Net migration5,Consumer Price Index (%  change)4,Owned accommodation costs (%  change)4,Labour force participation rate (% )3,Employment (%  change)4,Unemployment rate (% )3,Vacancy Rate (Standard Spaces) in Seniors' Rental 8,Teranet - National Bank House Price Index (% change)7, One-bedroom, Two-bedroom,3+ bedroom,Vacancy Rate (Standard Spaces) in Seniors' Rental 9,"New Housing Price Index (% change)4,8","Teranet - National Bank House Price Index (% change)7,8","Consumer Price Index (% change)4,8","Owned accommodation costs (% change)4,8","Rental accommodation costs (% change)4,8","New Housing Price Index (% change)4,7","Consumer Price Index (% change)4,7","Owned accommodation costs (% change)4,7","Rental accommodation costs (% change)4,7"
25,2015,806,393,413,4,154,255,806,367,115,324,0,613,1145,186.254,130,24,106,0.8,1.3,7.4,0,0,0,0,0,589,712,864,972,184.175,67.0999999999999,4.83314154200228,6.4,2412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2016,1136,469,667,30,243,394,1136,432,122,582,0,864,1017,181.116,153,68,85,0.5,0.8,5.2,0,0,0,0,0,619,744,915,1019,186.792,66.0999999999999,0,6.6,2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,category,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,housingcosts,housingcosts,housingcosts,housingcosts,averagerent,averagerent,averagerent,averagerent,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,state,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1990,17227,13809,3418,670,1345,1403,,11497,777,1475,683,17467,17238,1539.834,,0,0,,,,,,,,,339,428,532,577,,,,,,14432,0,2.3,0,0,13.8917525773196,5.74685626983195,0,9.27012958245652,5.33820006843845,2547.788,72.5416666666666,2.04119688059829,6.9,0,0,,,,,,,,,,,,,,,,,,,,
30,1991,12492,9778,2714,769,1049,896,,8624,405,894,184,12959,13993,1239.705,,0,0,,,,,,,,,356,445,550,607,,,,,,10107,0,3,0,0,-0.701516180131249,5.83462991775949,0,5.51388607338333,4.40714672441797,2592.306,72.5916666666666,0.590646251843736,8.19999999999999,-0.843700135803879,0,,,,,,,,,,,,,,,,,,,,
31,1992,13809,14125,4448,1150,1898,1400,,12856,668,1780,221,16307,19594,1751.518,,1016,365,,,,,,,,,366,452,553,608,,,,,,15525,1381,4.9,0,0,0.706472196900636,1.51212853092513,0,0.528338136407311,2.87284795685542,2632.672,72.2,-0.345169892361498,9.5,0.514446648044256,10420,,,,,,,,,,,,,,,,,,,,
32,1993,18151,13040,5111,1306,2213,1592,,11474,533,2985,131,17859,19559,1704.75,,1493,487,,,,,,,,,367,449,548,601,,,,,,15123,1980,6,0,0,3.25865580448064,1.09651391331333,0,0.162446249402753,1.57273918741808,2667.292,71.75,0.684918128845338,9.6,4.49655592731579,6862,,,,,,,,,,,,,,,,,,,,
33,1994,17692,12671,5021,1068,1676,2277,,10442,220,3116,127,18671,18006,1616.744,,1536,826,,,,,,,,,361,444,541,589,,,,,,13905,2362,7.1,0,0,1.79706333552488,1.46321498004707,0,-0.620110665903442,1.08188585607941,2700.606,72.0166666666666,2.77599953442356,8.8,0.419112431760469,7273,,,,,,,,,,,,,,,,,,,,
34,1995,13906,10096,3810,592,1340,1878,,7747,196,2575,23,13373,14203,1283.552,,1398,1147,,,,,,,,,354,439,540,589,,,,,,10541,2545,7.2,0,0,-0.0430570505920297,2.2892295280355,0,1.919938561966,1.09976433621365,2734.519,72.2583333333333,3.04894928903989,7.8,0.470283483261714,8835,,,,,,,,,,,,,,,,,,,,
