,Unnamed: 0,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,Vacancy Rate of Rented Condominium Apartments ,New Housing Price Index (% change)4,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6","Starts by intended market, 1 total",Newly completed and unabsorbed homes2,Rental vacancy rate (%)3,Rental availability rate (%)3,Vacancy Rate (Standard Spaces) in Seniors' Rental 6,New Housing Price Index (% change)5,Consumer Price Index (% change)5,Construction Wage Rate Index (% change)5,Owned accommodation costs (% change)5,Rental accommodation costs (% change)5,Population on July 1 (thousands)4,Labour force participation rate (%)4,Employment (% change)5,Unemployment rate (%)4,Real disposable income (% change)5,Net migration5,Consumer Price Index (%  change)4,Owned accommodation costs (%  change)4,Labour force participation rate (% )3,Employment (%  change)4,Unemployment rate (% )3,Vacancy Rate (Standard Spaces) in Seniors' Rental 8,Teranet - National Bank House Price Index (% change)7, One-bedroom, Two-bedroom,3+ bedroom,Vacancy Rate (Standard Spaces) in Seniors' Rental 9,"New Housing Price Index (% change)4,8","Teranet - National Bank House Price Index (% change)7,8","Consumer Price Index (% change)4,8","Owned accommodation costs (% change)4,8","Rental accommodation costs (% change)4,8","New Housing Price Index (% change)4,7","Consumer Price Index (% change)4,7","Owned accommodation costs (% change)4,7","Rental accommodation costs (% change)4,7"
477,2004,3947,2970,977,293,256,428,,1966,636,40,0,5213,4059,395.812,,26,8,,,,,,,,,411,465,576,634,,,,,,2642,34,5.3,0,0,2.0412308317254,1.42661400822117,1.3642631993696,1.83923146399541,1.07039934129272,749.408,63.75,1.87068608082729,9.8,2.31032457804851,-179,,,,,,,,,,,,,,,,,,,,
478,2005,3959,2665,1294,391,203,700,,1927,611,131,0,3796,4062,392.481,,20,26,,,,,,,,,402,476,586,663,,,,,,2669,46,5,6.4,0,4.02070063694266,2.42371265098537,-3.07079345026967,2.70095944529549,0.887983706720975,748.044,63.2416666666666,-0.459682053246494,9.69999999999999,0.161461869397086,-1501,,,,,,,,,,,,,,,,,,,,
479,2006,4085,2445,1640,482,275,883,,2037,648,185,2,3661,4089,402.753,,165,19,,,,,,,,,411,496,609,690,,,,,,2872,184,6,6.7,0,3.33907386146192,1.67584762200326,5.30352398616472,2.8732925105982,0.855943152454772,745.609,63.275,1.14970175101018,8.69999999999999,4.11783637324394,-2802,,,,,,,,,,,,,,,,,,,,
480,2007,4242,2733,1509,530,195,784,,2278,597,125,0,4118,4182,469.738,,153,39,,,,,,,,,436,510,619,705,,,,,,3000,192,5.3,6.1,0,0.907323395981852,1.87714612743227,7.46417860713094,2.20543345543345,0.696557245796645,745.407,63.5916666666666,2.04261187996386,7.5,4.51267491381059,-829,,,,,,,,,,,,,,,,,,,,
481,2008,4274,2519,1755,584,235,936,,2349,686,105,0,4013,4375,487.994,,208,84,,,,,,,,,439,525,635,737,,,,,,3140,292,3.6,4,0,2.504816955684,1.70024717249644,4.81506090808416,2.83730306876727,1.08133895205533,746.855,64.5999999999999,0.864539883019124,8.5,5.32082868265592,946,,,,,,,,,,,,,,,,,,,,
482,2009,3521,2154,1367,449,220,698,,1829,611,180,0,3763,3939,470.407,,202,98,,,,,,,,,455,543,656,761,,,,,,2620,300,3.8,4.2,6.4,3.25814536340853,0.33878332596848,1.32702222973544,2.46133739925941,1.16416266813498,749.954,64.175,-0.196377414287029,8.69999999999999,3.71480131085383,2313,,,,,,,,,,,,,,,,,,,,
483,2010,4101,2068,2033,475,221,1337,,1901,889,160,0,3277,3997,461.922,,117,42,,,,,,,,,455,554,668,799,,,,,,2950,159,4.5,5.2,6.2,1.52565880721219,2.12125660598942,3.82048715382047,0.340136054421773,1.27517300365446,753.044,63.8416666666666,-0.532419731938244,9.19999999999999,3.98301656321535,2313,,,,,,,,,,,,,,,,,,,,
484,2011,3452,1823,1629,472,211,946,,1625,742,92,0,3507,3527,439.769,,100,42,,,,,,,,,470,568,687,824,,,,,,2459,142,4.8,5.3,7.8,0.614754098360656,3.47157334866672,-2.33408323959505,0.28248587570621,1.22840690978886,755.53,63.3,-0.709814051990975,9.5,0.381268179120073,2076,,,,,,,,,,,,,,,,,,,,
485,2012,3299,1697,1602,426,162,1014,,1583,958,2,0,3397,3771,436.855,,98,134,,,,,,,,,478,586,707,848,,,,,,2543,232,6.9,7.5,7.7,-0.118805159538355,1.67407613225895,12.3894533338817,0.098591549295781,0.894956389836936,756.777,63.1833333333333,-0.672698293643348,10.2,1.99037085161926,333,,,,,,,,,,,,,,,,,,,,
486,2013,2843,1376,1467,290,175,1002,,1177,869,27,0,3143,3150,374.212,,81,143,,,,,,,,,504,591,715,842,,,,,,2073,224,8.9,9.4,6.8,0.280373831775704,0.799344127895072,4.04055191596822,0.731672998452224,0.909569270089446,755.842,63.4916666666666,0.398801236519817,10.3,1.56649116294858,-1409,,,,,,,,,,,,,,,,,,,,
487,2014,2276,1192,1084,274,70,740,,1114,573,27,11,2507,2752,353.193,,73,139,,,,,,,,,515,608,735,876,,,,,,1725,212,8,8.6,8.7,-0.101669067186308,1.49789887488137,-3.67960037992049,1.62033803603855,0.834326579261028,754.865,63.2083333333333,-0.190382174587508,9.9,1.09446996804861,-1180,,,,,,,,,,,,,,,,,,,,
488,2015,1995,1119,876,157,145,574,,856,437,27,59,1688,1961,300.578,,44,102,,,,,,,,,508,613,744,882,,,,,,1379,146,7.4,7.8,0,-0.127215672970907,0.520868113522551,5.97494613052846,1.1615120274914,0.56885342789598,754.309,62.7333333333333,-0.591075002943609,9.8,2.88917405211321,-495,,,,,,,,,,,,,,,,,,,,
489,2016,1838,1033,805,130,208,467,,851,365,88,6,2568,2322,359.682,,47,73,,,,,,,,,535,632,763,896,,,,,,1310,120,6.6,7.4,7.3,0.730298913043476,2.17896764764497,2.31588379225972,2.18764861743325,0.881510321016675,756.78,62.3416666666666,-0.0805420002842572,9.5,0,2789,,,,,,,,,,,,,,,,,,,,
490,category,construction,construction,construction,construction,construction,construction,,construction,construction,construction,construction,construction,construction,construction,,availablesupply,availablesupply,,,,,,,,,averagerent,averagerent,averagerent,averagerent,,,,,,construction,availablesupply,availablesupply,availablesupply,availablesupply,housingcosts,housingcosts,housingcosts,housingcosts,housingcosts,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences,,,,,,,,,,,,,,,,,,,,
491,state,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,,new brunswick,new brunswick,,,,,,,,,new brunswick,new brunswick,new brunswick,new brunswick,,,,,,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,,,,,,,,,,,,,,,,,,,,
492,1990,5560,3639,1921,310,100,1511,,2199,1107,12,332,5477,6323,371.874,,0,0,,,,,,,,,391,460,539,658,,,,,,3650,0,3.8,0,0,0.284303456531486,5.07392473118278,0,4.72062663185378,3.26771260117916,910.451,61.9,0.973990522155001,10.7,0,0,,,,,,,,,,,,,,,,,,,,
493,1991,5173,2604,2569,301,46,2222,,1590,1691,0,400,4905,5542,304.689,,0,0,,,,,,,,,408,481,565,690,,,,,,3681,0,5.1,0,0,-0.238734706057886,6.07611128877519,0,4.45796349855389,2.82562415328043,914.969,61.5333333333333,-1.2089884724355,12.1,-1.47887172945889,0,,,,,,,,,,,,,,,,,,,,
494,1992,4673,3232,1441,373,93,975,,2190,764,0,268,5485,5217,331.422,,48,72,,,,,,,,,409,475,562,687,,,,,,3222,120,5.7,0,0,1.13670355967693,0.653200683348402,0,-0.754248615619627,1.93864106907585,919.451,59.9666666666666,-3.09558211830639,13.1,2.25367711234696,1217,,,,,,,,,,,,,,,,,,,,
495,1993,4282,3126,1156,496,81,579,,2306,642,0,40,4545,4938,329.759,,76,58,,,,,,,,,412,482,571,719,,,,,,2988,134,6,0,0,2.98728186926945,1.23801916932908,0,-0.461760461760468,1.29246676514033,923.925,60.05,-0.637086571480215,14.3,2.12041026992231,1676,,,,,,,,,,,,,,,,,,,,
496,1994,4748,3358,1390,518,99,773,,2493,671,0,140,4920,5018,358.53,,146,67,,,,,,,,,421,485,579,711,,,,,,3304,213,6.7,0,0,2.78575531303848,1.12426035502958,0,-0.251280564414808,1.29420342690483,926.871,60.1083333333333,1.67341185030239,13.5,-0.796432370799153,409,,,,,,,,,,,,,,,,,,,,
497,1995,4168,3040,1128,417,72,639,,2098,570,24,3,4170,4868,348.152,,179,75,,,,,,,,,422,488,584,760,,,,,,2695,254,7.6,0,0,2.96172115115953,1.36532085039983,0,2.16064334851275,0.935756703257161,928.12,59.4083333333333,0.878840735274395,12.2,0.307610388004365,-432,,,,,,,,,,,,,,,,,,,,
498,1996,4059,3278,781,447,59,275,,2527,279,0,0,4062,5725,403.973,,142,52,,,,,,,,,421,488,588,732,,,,,,2806,194,8.6,0,0,0.719131614654013,1.77987300365595,0,0.483687405159329,0.864681761454808,931.327,59.375,0.232759193988162,12.4,-2.48281980987782,1475,,,,,,,,,,,,,,,,,,,,
499,1997,3813,2939,874,303,58,513,,2225,479,0,28,3756,4997,355.368,,192,63,,,,,,,,,424,490,589,722,,,,,,2732,255,8.3,0,0,-2.31712245722755,2.07959164382267,0,-0.339782916470029,0.892620415377819,932.402,59.7333333333333,1.45966029723991,12.1,1.38654131471975,695,,,,,,,,,,,,,,,,,,,,
500,1998,3137,2257,880,290,89,501,,1664,418,89,0,3416,4249,312.118,,139,36,,,,,,,,,433,496,603,763,,,,,,2171,175,5.9,0,0,0.758516066749422,0.620427817390492,-0.0803557079337823,0.823941661142147,0.534337771548695,931.836,60.525,3.57485395413724,10.5,3.81787910926813,-547,,,,,,,,,,,,,,,,,,,,
501,1999,4250,3345,905,218,29,658,,2263,571,0,0,4237,5208,405.244,,96,7,,,,,,,,,448,507,609,761,,,,,,2834,103,4.2,0,0,3.24390911579524,1.71176145775815,-0.343126742440485,2.18861544241968,0.479219308181575,933.784,60.7666666666666,1.95302634901926,9.6,4.39167036596305,1991,,,,,,,,,,,,,,,,,,,,
502,2000,4432,2856,1576,266,17,1293,,1867,810,371,2,3986,4705,429.301,,101,8,,,,,,,,,468,522,621,773,,,,,,3050,109,4.2,0,0,3.24804454461087,3.49258052841114,6.32128254788034,4.41217023623494,0.901838362816518,933.821,61.2333333333333,1.9734126001156,9.1,-0.631797670472084,126,,,,,,,,,,,,,,,,,,,,
503,2001,4092,2761,1331,228,40,1063,,1765,746,256,0,3618,4099,399.848,,59,45,,,,,,,,,486,537,645,835,,,,,,2767,104,3.3,0,0,2.79917822290705,1.85347088651861,2.317461923797,3.75913372656044,1.51254726710209,932.491,62.025,0.914979757085016,9.69999999999999,2.80251307547074,-946,,,,,,,,,,,,,,,,,,,,
504,2002,4970,3363,1607,253,144,1210,,2493,847,378,3,4011,5077,545.537,,58,92,,,,,,,,,499,555,669,897,,,,,,3721,150,3,0,0,3.62228328753435,2.99570815450644,-0.652786706888874,1.83268284405226,1.60006772773451,935.155,62.5416666666666,1.69702318863837,9.6,2.58058315730091,1055,,,,,,,,,,,,,,,,,,,,
505,2003,5096,2968,2128,338,277,1513,,2219,833,530,9,5434,5243,585.426,,73,68,,,,,,,,,514,575,684,919,,,,,,3591,141,2.6,0,0,4.0983606557377,3.4169514126177,0.204091791527685,2.88285285785703,1.34988750937421,937.676,63.025,2.08686733204465,9.1,0.00239088385144723,993,,,,,,,,,,,,,,,,,,,,
506,2004,4717,3270,1447,266,186,995,,2310,559,445,0,4896,5471,651.627,,34,115,,,,,,,,,532,592,711,973,,,,,,3314,149,3,0,0,2.08429828624363,1.79708276251108,3.84500745156482,2.15419501133785,0.863273863356079,939.612,63.9166666666666,2.40551820078831,8.8,1.52364795439721,652,,,,,,,,,,,,,,,,,,,,
507,2005,4775,3010,1765,301,265,1199,,2133,643,481,0,4456,5239,661.571,,36,14,,,,,,,,,532,608,726,912,,,,,,3257,50,3.4,4.2,0,2.8130671506352,2.77074097530083,5.73574435514734,1.61725067385445,0.660254320182586,937.899,63.4333333333333,0.101884870096788,8.4,0.912246799180046,-2754,,,,,,,,,,,,,,,,,,,,
508,2006,4896,2757,2139,353,255,1531,,1941,1096,290,0,4455,5854,750.159,,65,134,,,,,,,,,553,629,760,986,,,,,,3327,199,3.3,3.9,0,4.33583406884378,2.07209983053457,5.41555444962223,3.05819940708378,0.558749696331689,937.869,62.6833333333333,-0.243143907266042,7.9,3.48597398338336,-1145,,,,,,,,,,,,,,,,,,,,
509,2007,4750,2887,1863,333,221,1309,,2075,911,334,0,4454,5150,721.765,,57,163,,,,,,,,,557,642,777,1030,,,,,,3320,220,3.2,3.7,0,5.77350111028867,1.87155686363292,4.30901287553647,4.33762301286904,0.571750684490257,935.071,63.55,1.41518346370404,8,2.10779639845946,-2087,,,,,,,,,,,,,,,,,,,,
510,2008,3982,2636,1346,328,219,799,,2509,647,171,0,4629,4216,665.316,,36,143,,,,,,,,,580,664,795,1030,,,,,,3327,179,3.5,4,0,7.94761571528541,2.98540632639456,-1.40717577353522,5.29637959805557,0.904796220674189,935.865,63.725,0.976245924545879,7.6,3.55140150151745,938,,,,,,,,,,,,,,,,,,,,
511,2009,3438,2193,1245,274,187,784,,2037,655,95,0,3796,4370,664.268,,39,61,,,,,,,,,617,692,838,1056,,,,,,2787,100,3.1,3.4,7.3,1.12057788479348,-0.107898144151937,5.49620232034053,1.86040101977537,1.26170449135058,938.194,64.1916666666666,-0.472333437886318,9.19999999999999,3.99354195355905,2486,,,,,,,,,,,,,,,,,,,,
512,2010,4309,2392,1917,373,200,1344,,2321,1119,98,0,3948,5054,800.359,,62,82,,,,,,,,,612,713,851,1116,,,,,,3538,144,2.9,3.6,15,0.90667643557102,2.17469575862318,1.289607974999,0.899682067239397,1.34785675103832,942.073,64.325,0.394861242422564,9.6,2.9489558248786,4100,,,,,,,,,,,,,,,,,,,,
513,2011,4644,2045,2599,418,241,1940,,2113,1793,169,0,3701,5070,777.324,,65,10,,,,,,,,,647,730,882,1146,,,,,,4075,75,2.7,3.3,8.2,1.7062987838083,3.78462189019663,4.39367311072056,1.76991150442478,1.24487744529498,944.469,63.8833333333333,0.367456976142987,9,-0.198506445117417,3069,,,,,,,,,,,,,,,,,,,,
514,2012,4522,2258,2264,420,218,1626,,2262,1482,181,0,3928,5197,823.382,,88,19,,,,,,,,,663,750,909,1153,,,,,,3925,107,3.4,4.1,6.9,2.16848117080135,1.92856172755668,1.84811073699963,1.699604743083,1.41286085229875,944.943,64.4166666666666,1.01370619078282,9.1,1.56025406831967,-88,,,,,,,,,,,,,,,,,,,,
515,2013,3919,1639,2280,332,259,1689,,1676,1564,74,0,4733,3954,637.402,,120,40,,,,,,,,,682,763,929,1200,,,,,,3314,160,3.7,4.5,8.5,2.55044108655778,1.1858760826116,-0.822803408756982,2.35781837025521,1.24256344604262,943.538,63.65,-1.07274250537282,9.1,2.48923461716908,-1647,,,,,,,,,,,,,,,,,,,,
516,2014,3056,1355,1701,220,179,1302,,1326,1089,166,52,3229,3739,624.23,,108,76,,,,,,,,,686,776,955,1231,,,,,,2633,184,4.1,4.7,9.1,0.323652159100586,1.74479852515142,5.28518518518517,0.961903556511822,0.840523653674498,943.294,62.7833333333333,-1.11014967689673,9,0.377316485237449,-238,,,,,,,,,,,,,,,,,,,,
517,2015,3825,1350,2475,259,129,2087,,1293,1611,386,158,3036,4128,680.913,,95,82,,,,,,,,,702,807,992,1262,,,,,,3448,177,3.8,4.7,7.9,0.755581967908986,0.427101533682784,1.36138178492279,1.47925285194935,0.892527845393529,943.373,62.3916666666666,0.119149569944514,8.6,2.51436197047861,284,,,,,,,,,,,,,,,,,,,,
518,2016,3767,1656,2111,318,144,1649,,1397,1409,312,0,3355,4156,677.068,,80,73,,,,,,,,,724,819,1008,1254,,,,,,3118,153,3,4,7.6,0.379170879676444,1.20497454732907,2.01291039078226,1.31562693020383,0.943120339230884,949.501,61.6833333333333,-0.435122168916654,8.3,0,6494,,,,,,,,,,,,,,,,,,,,
519,category,construction,construction,construction,construction,construction,construction,,construction,construction,construction,construction,construction,construction,construction,,availablesupply,availablesupply,,,,,,,,,averagerent,averagerent,averagerent,averagerent,,,,,,construction,availablesupply,availablesupply,availablesupply,availablesupply,housingcosts,housingcosts,housingcosts,housingcosts,housingcosts,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences,,,,,,,,,,,,,,,,,,,,
520,state,nova scotia,nova scotia,nova scotia,nova scotia,nova scotia,nova scotia,,nova scotia,nova scotia,nova scotia,nova scotia,nova scotia,nova scotia,nova scotia,,nova scotia,nova scotia,,,,,,,,,nova scotia,nova scotia,nova scotia,nova scotia,,,,,,nova scotia,nova scotia,nova scotia,nova scotia,nova scotia,nova scotia,nova scotia,nova scotia,nova scotia,nova scotia,nova scotia,nova scotia,nova scotia,nova scotia,nova scotia,nova scotia,,,,,,,,,,,,,,,,,,,,
521,1990,2189,1230,959,88,396,475,2189,1485,546,158,0,3028,1984,235.3,0,0,0,1.8,0,0,,0,0,0,0,487,533,604,690,243.379,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,1991,2596,1385,1211,99,435,677,2596,1628,716,162,90,2545,2704,270.678,0,0,0,3.4,0,0,,0,0,0,0,490,562,641,728,248.328,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,1992,2188,910,1278,112,524,642,2188,1246,392,0,550,2911,1807,161.71,88,15,73,6.1,0,0,,0,0,0,0,513,564,651,752,255.403,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,1993,1409,1020,389,34,260,95,1409,1202,83,28,96,1665,1618,169.133,85,52,33,4.6,0,0,,0,0,0,0,480,570,659,752,261.28,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,1994,1963,1485,478,64,316,98,1963,1821,106,36,0,1986,2344,254.393,126,82,44,3.4,0,0,,0,0,0,0,468,584,659,745,267.142,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,1995,1330,1035,295,24,232,39,1330,1291,39,0,0,1389,1165,112.572,116,82,34,2.7,0,0,,0,0,0,0,508,605,689,779,272.557,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,1996,1563,1216,347,64,283,0,1563,1429,0,134,0,1350,1611,159.642,92,76,16,3.7,0,0,,0,0,0,0,521,617,700,798,278.175,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,1997,2064,1736,328,62,214,52,2064,1957,0,107,0,1991,2129,229.584,59,42,17,2.4,0,0,,0,0,0,0,515,604,691,788,284.834,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,1998,1759,1400,359,8,347,4,1759,1706,4,49,0,1764,1834,210.096,99,36,63,2,0,0,,0,0,0,0,518,641,726,828,291.387,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,1999,2463,2150,313,6,307,0,2463,2339,38,86,0,2248,2517,325.953,95,68,27,1.7,0,0,,0,0,0,0,536,647,745,846,297.328,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,2000,2874,2152,722,86,508,128,2874,2647,128,99,0,2475,3325,391.005,80,63,17,1.7,0,0,,0,0,0,0,522,684,778,879,304.414,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,2001,2561,2038,523,70,453,0,2561,2539,22,0,0,2560,2964,390.42,51,34,17,1.3,0,0,,0,0,0,0,542,692,799,903,308.599,68.8,0,5.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,2002,3490,2955,535,94,351,90,3490,3344,16,130,0,3315,3342,462.856,59,41,18,2.3,0,0,,0,0,0,0,579,713,819,925,315.101,69.5999999999999,2.59403372243839,6.8,4632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,2003,3907,3074,833,172,549,112,3907,3795,40,72,0,3459,3940,669.578,51,18,33,2.9,0,0,,0,0,0,0,581,752,845,944,322.777,72.9,9.86093552465235,5.1,5871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,2004,3153,2356,797,68,519,210,3153,2915,0,238,0,3647,2815,487.637,26,17,9,3.4,4.4,0,,0,0,0,0,611,750,852,973,330.304,70.5999999999999,-0.632911392405076,5.4,5591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,2005,2934,2301,633,10,305,318,2934,2557,41,336,0,2623,3019,583.214,49,25,24,3.3,4.8,0,,0,0,0,0,611,753,855,980,337.398,70.8,1.91082802547771,6.5,4939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,2006,2995,2109,886,18,382,486,2995,2385,1,609,0,2583,2924,547.888,69,52,17,4.1,6.3,0,,0,0,0,0,616,756,861,995,344.262,68.9,-0.170454545454551,6.6,4781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,2007,2389,1747,642,14,351,277,2389,1945,146,298,0,2598,2235,487.694,165,47,118,3.7,5.5,0,,0,0,0,0,614,770,877,993,348.28,68.5,1.47979510529312,6.2,3142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,2008,1987,1500,487,4,432,51,1987,1759,27,201,0,2339,2059,441.375,158,31,127,4.2,5.7,0,,0,0,0,0,641,785,889,1008,352.63,69.0999999999999,1.68255748738081,7.1,3328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2009,980,836,144,4,98,42,980,898,45,37,0,1563,1104,317.505,89,8,81,4.2,6.1,15.9,,0,0,0,0,637,785,900,1035,357.061,67.0999999999999,-3.41974627688914,9.1,3486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,2010,1888,1540,348,16,320,12,1888,1787,12,89,0,1560,1949,504.712,31,11,20,3,4.6,17.2,,0,0,0,0,659,804,903,1032,362.255,69.9,5.25414049114792,9.9,4092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,2011,1859,1384,475,40,361,74,1859,1623,54,182,0,1838,2160,602.671,25,11,14,1.8,3.2,16.9,,0,0,0,0,669,819,941,1075,367.266,69.0999999999999,2.55018990775908,8.19999999999999,3666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,2012,1803,1155,648,50,296,302,1803,1314,150,339,0,1759,1692,493.704,17,6,11,2.1,3.4,17.8,,0,0,0,0,684,839,939,1053,373.817,68.4,0.529100529100529,8.69999999999999,4720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,2013,1384,887,497,66,168,263,1384,1067,296,21,0,1680,1736,461.265,5,4,1,2.1,3,14.7,,0,0,0,0,713,874,985,1126,378.981,67.8,2.36842105263157,7.5,3521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,2014,1671,1141,530,32,388,110,1671,1450,111,110,0,1511,1829,562.784,28,28,0,1.8,2.9,12.6,,0,0,0,0,724,885,1010,1153,383.831,68.5999999999999,3.54755784061697,7.1,3247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,2015,2587,1418,1169,20,412,737,2587,1727,605,255,0,1362,2729,808.735,28,28,0,1.7,2.4,4.3,,0,0,0,0,794,905,1035,1174,388.563,66.0999999999999,-2.48262164846077,7.5,3167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,2016,2491,945,1546,56,719,771,2491,1455,255,781,0,1903,2430,753.32,29,28,1,1.7,2.5,11.3,,0,0,0,0,777,979,1109,1198,393.977,69.5999999999999,8.96130346232178,5.9,3897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,category,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,,housingcosts,housingcosts,housingcosts,housingcosts,averagerent,averagerent,averagerent,averagerent,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,state,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,1990,4860,2414,2446,105,1118,1223,4860,3143,1112,603,2,5511,5216,483.839,0,0,0,0.5,0,,0,,,,,407,,,,724.732,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,509,640,761,0,3.95577012926335,0,4.76353276353277,8.04537338514861,4.0993931066071,,,,
551,1991,4475,1811,2664,71,991,1602,4475,2444,1941,90,0,4179,4678,437.342,0,0,0,0.8,0,,0,,,,,435,,,,739.049,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,543,672,818,0,-0.389513108614229,0,5.68911128032198,5.55069505200739,4.1359586404136,,,,
552,1992,5830,2463,3367,84,1568,1715,5830,3706,1616,452,56,6336,5769,553.191,602,169,433,1.3,0,,0,,,,,457,,,,751.97,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,572,700,839,0,0.075199278086922,0,1.3894606834088,0.644685945846375,3.98225414598077,,,,
553,1993,4421,1858,2563,92,1776,695,4421,3528,715,82,96,4664,4052,376.493,648,268,380,1.8,0,,0,,,,,465,,,,765.76,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,591,727,881,0,-0.571085061617069,0,2.20282204852299,-0.329428989751095,3.33197887037789,,,,
554,1994,3929,1732,2197,149,1808,240,3929,3493,151,134,151,4655,3973,394.041,706,214,492,2.6,0,,0,,,,,484,,,,774.26,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,600,738,894,0,0.226723095525992,0,0.516487882399678,-0.312155710613292,2.31026346834446,,,,
555,1995,2190,807,1383,41,851,491,2190,1553,299,120,218,2316,2205,205.726,599,164,435,3.8,0,,0,,,,,489,,,,781.273,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,604,738,885,0,-1.77952043432361,0,2.83596837944665,0.994658316448692,1.77764965888344,,,,
556,1996,3066,1439,1627,151,1278,198,3066,2835,75,156,0,2644,3609,318.934,460,143,317,4.9,0,,0,,,,,484,,,,773.905,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,601,739,892,0,-1.55074466451713,0,1.57586240030747,-1.03957687397409,1.29342900302114,,,,
557,1997,3485,2053,1432,120,1185,127,3485,3311,42,132,0,3512,3687,385.747,435,143,292,4.2,0,,0,,,,,483,,,,780.088,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,603,729,888,0,0.686213349968795,0,1.70277173398921,-1.42830814596388,0.829527448970089,,,,
