,REF_DATE,GEO,Population estimate
2001,Jul-89,Nova Scotia,903841
2002,Jul-89,New Brunswick,735129
2003,Jul-89,Quebec,6925128
2004,Jul-89,Ontario,10103305
2005,Jul-89,Manitoba,1103792
2006,Jul-89,Saskatchewan,1019439
2007,Jul-89,Alberta,2498325
2008,Jul-89,British Columbia,3196725
2009,Jul-89,Yukon,27167
2010,Jul-89,Northwest Territories including Nunavut,57226
2011,Oct-89,Canada,27402695
2012,Oct-89,Newfoundland and Labrador,575594
2013,Oct-89,Prince Edward Island,129900
2014,Oct-89,Nova Scotia,906644
2015,Oct-89,New Brunswick,736352
2016,Oct-89,Quebec,6946945
2017,Oct-89,Ontario,10167642
2018,Oct-89,Manitoba,1102522
2019,Oct-89,Saskatchewan,1016043
2020,Oct-89,Alberta,2507203
2021,Oct-89,British Columbia,3229220
2022,Oct-89,Yukon,27197
2023,Oct-89,Northwest Territories including Nunavut,57433
2024,Jan-90,Canada,27463550
2025,Jan-90,Newfoundland and Labrador,576278
2026,Jan-90,Prince Edward Island,130336
2027,Jan-90,Nova Scotia,907394
2028,Jan-90,New Brunswick,737307
2029,Jan-90,Quebec,6955119
2030,Jan-90,Ontario,10189985
2031,Jan-90,Manitoba,1102752
2032,Jan-90,Saskatchewan,1011429
2033,Jan-90,Alberta,2520056
2034,Jan-90,British Columbia,3247419
2035,Jan-90,Yukon,27605
2036,Jan-90,Northwest Territories including Nunavut,57870
2037,Apr-90,Canada,27567161
2038,Apr-90,Newfoundland and Labrador,577167
2039,Apr-90,Prince Edward Island,130468
2040,Apr-90,Nova Scotia,908444
2041,Apr-90,New Brunswick,738744
2042,Apr-90,Quebec,6973762
2043,Apr-90,Ontario,10238884
2044,Apr-90,Manitoba,1103935
2045,Apr-90,Saskatchewan,1009952
2046,Apr-90,Alberta,2532621
2047,Apr-90,British Columbia,3266888
2048,Apr-90,Yukon,27824
2049,Apr-90,Northwest Territories including Nunavut,58472
2050,Jul-90,Canada,27691138
2051,Jul-90,Newfoundland and Labrador,577368
2052,Jul-90,Prince Edward Island,130404
2053,Jul-90,Nova Scotia,910451
2054,Jul-90,New Brunswick,740156
2055,Jul-90,Quebec,6996986
2056,Jul-90,Ontario,10295832
2057,Jul-90,Manitoba,1105421
2058,Jul-90,Saskatchewan,1007727
2059,Jul-90,Alberta,2547788
2060,Jul-90,British Columbia,3292111
2061,Jul-90,Yukon,27957
2062,Jul-90,Northwest Territories including Nunavut,58937
2063,Oct-90,Canada,27807591
2064,Oct-90,Newfoundland and Labrador,577113
2065,Oct-90,Prince Edward Island,130367
2066,Oct-90,Nova Scotia,911749
2067,Oct-90,New Brunswick,741981
2068,Oct-90,Quebec,7019039
2069,Oct-90,Ontario,10344678
2070,Oct-90,Manitoba,1105098
2071,Oct-90,Saskatchewan,1004214
2072,Oct-90,Alberta,2563142
2073,Oct-90,British Columbia,3322896
2074,Oct-90,Yukon,28023
2075,Oct-90,Northwest Territories including Nunavut,59291
2076,Jan-91,Canada,27854861
2077,Jan-91,Newfoundland and Labrador,577377
2078,Jan-91,Prince Edward Island,130477
2079,Jan-91,Nova Scotia,912792
2080,Jan-91,New Brunswick,743210
2081,Jan-91,Quebec,7026241
2082,Jan-91,Ontario,10355101
2083,Jan-91,Manitoba,1106196
2084,Jan-91,Saskatchewan,1002651
2085,Jan-91,Alberta,2572947
2086,Jan-91,British Columbia,3339935
2087,Jan-91,Yukon,28223
2088,Jan-91,Northwest Territories including Nunavut,59711
2089,Apr-91,Canada,27928837
2090,Apr-91,Newfoundland and Labrador,578397
2091,Apr-91,Prince Edward Island,130453
2092,Apr-91,Nova Scotia,912889
2093,Apr-91,New Brunswick,744203
2094,Apr-91,Quebec,7044395
2095,Apr-91,Ontario,10385937
2096,Apr-91,Manitoba,1107757
2097,Apr-91,Saskatchewan,1002876
2098,Apr-91,Alberta,2580625
2099,Apr-91,British Columbia,3352585
2100,Apr-91,Yukon,28494
2101,Apr-91,Northwest Territories including Nunavut,60226
2102,Jul-91,Canada,28037420
2103,Jul-91,Newfoundland and Labrador,579644
2104,Jul-91,Prince Edward Island,130369
2105,Jul-91,Nova Scotia,914969
2106,Jul-91,New Brunswick,745567
2107,Jul-91,Quebec,7067396
2108,Jul-91,Ontario,10431316
2109,Jul-91,Manitoba,1109604
2110,Jul-91,Saskatchewan,1002713
2111,Jul-91,Alberta,2592306
2112,Jul-91,British Columbia,3373787
2113,Jul-91,Yukon,28871
